数据库：月度数据
时间：2000-
指标,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月
居民消费价格指数(上年同月=100),100.2,99.5,100.5,101.7,102.4,102.7,102.5,102.4,103.3,104.3,105.2,105.4,104.5,104.5,103.8,103.0,102.8,102.8,102.7,102.7,102.5,102.3,101.5,101.7,101.9,102.2,102.5,102.5,102.3,102.1,101.9,101.8,101.8,102.1,102.9,101.5,101.8,101.7,101.9,101.6,101.8,101.4,101.5,101.5,101.2,100.9,100.8,102.5,102.1,102.3,102.1,101.9,101.3,101.8,101.9,102.0,102.3,102.3,102.3,101.8
食品烟酒类居民消费价格指数(上年同月=100),101.4,99.3,102.4,106.4,108.8,110.2,108.8,108.5,111.3,113.6,116.0,115.2,112.9,113.9,111.4,108.4,107.3,106.7,106.1,105.8,104.7,103.5,101.2,102.0,102.4,102.5,102.9,103.0,101.9,101.0,100.8,100.7,101.1,102.0,103.6,100.2,100.3,99.8,100.3,99.6,100.4,99.9,99.8,99.5,98.2,97.6,97.6,102.5,102.2,103.2,103.0,102.7,101.5,102.8,103.7,104.7,105.9,106.0,105.8,103.6
衣着类居民消费价格指数(上年同月=100),99.9,99.7,99.7,99.6,99.5,99.5,99.6,99.6,99.6,99.7,100.5,100.6,100.8,101.1,101.2,101.6,101.6,101.8,101.8,101.7,101.8,102.0,102.0,101.6,101.5,101.4,101.4,101.2,101.3,101.2,101.1,101.1,101.1,101.1,101.1,101.4,101.3,101.2,101.2,101.3,101.3,101.4,101.4,101.3,101.3,101.3,101.2,101.1,101.1,101.4,101.3,101.2,101.3,101.4,101.4,101.5,101.5,101.5,101.6,101.9
居住类居民消费价格指数(上年同月=100),99.4,99.4,99.3,99.2,99.3,99.3,99.4,99.5,99.7,99.9,100.3,100.5,100.5,100.4,100.5,100.7,101.0,101.5,101.6,101.8,102.0,102.1,102.2,102.1,102.2,102.4,102.5,102.6,102.5,102.4,102.3,102.2,102.2,102.2,102.2,102.7,102.8,102.8,102.8,102.8,102.7,102.5,102.5,102.5,102.4,102.4,102.5,102.3,102.1,102.0,101.8,101.5,101.5,101.6,101.6,101.6,101.4,101.3,101.3,101.4
生活用品及服务类居民消费价格指数(上年同月=100),100.0,100.0,99.9,99.9,99.9,99.9,100.0,100.1,100.1,100.3,100.1,100.2,100.4,100.4,100.6,100.6,100.7,100.8,100.8,101.0,101.1,101.2,101.3,101.5,101.4,101.5,101.5,101.6,101.6,101.6,101.5,101.5,101.5,101.6,101.8,101.5,101.6,101.5,101.5,101.4,101.3,101.1,101.1,101.0,100.8,100.7,100.5,100.6,100.4,100.3,100.4,100.3,100.4,100.6,100.6,100.6,100.5,100.4,100.3,100.6
交通和通信类居民消费价格指数(上年同月=100),96.9,96.1,96.1,96.4,96.1,95.6,95.4,94.9,95.1,96.2,98.4,100.9,99.3,97.2,96.5,97.1,97.7,97.9,98.1,99.1,99.5,100.1,98.8,98.7,99.3,101.6,103.2,102.8,102.7,103.0,102.4,101.8,101.1,100.3,101.5,100.2,101.2,101.3,100.8,100.5,100.7,99.8,100.1,101.1,101.8,102.0,101.7,102.3,100.9,100.0,99.6,99.6,98.8,98.4,98.2,97.4,97.6,97.4,98.4,98.4
教育文化和娱乐类居民消费价格指数(上年同月=100),100.9,101.0,101.1,100.7,100.0,100.3,101.9,102.2,102.0,102.5,101.0,102.2,101.8,101.7,101.9,101.7,102.1,102.3,102.4,102.6,102.5,102.4,102.4,102.9,102.3,102.5,102.5,102.2,102.6,102.3,101.8,101.9,102.0,102.2,103.7,100.9,102.1,102.0,102.3,102.3,102.5,102.5,102.5,102.6,102.6,102.3,101.8,103.3,102.3,102.2,102.1,102.0,101.3,101.6,101.4,101.2,101.2,101.2,100.9,101.7
医疗保健类居民消费价格指数(上年同月=100),101.3,101.5,101.5,101.5,101.5,101.6,101.9,102.1,102.2,102.2,102.2,102.3,102.1,102.0,102.1,102.2,102.3,102.6,102.5,102.5,102.6,102.7,102.8,102.7,102.5,102.6,102.6,102.7,104.3,104.6,105.0,105.1,105.2,105.7,106.0,106.2,106.6,107.0,107.2,107.6,105.9,105.5,105.7,105.9,105.7,105.3,105.1,105.0,104.6,104.4,104.8,104.3,104.3,104.3,103.8,103.5,103.2,103.1,102.8,102.9
其他用品和服务类居民消费价格指数(上年同月=100),102.2,102.5,102.4,104.3,106.1,105.1,105.1,105.3,104.8,105.3,104.4,104.8,104.4,104.5,105.5,105.8,104.7,103.4,102.7,102.1,101.9,101.9,102.0,102.3,101.6,101.5,101.3,100.7,101.2,101.2,100.9,101.0,100.9,101.2,101.7,101.2,101.9,101.7,101.8,101.4,101.4,101.3,102.8,102.9,103.4,102.9,103.1,104.8,104.0,104.2,103.6,104.4,104.5,104.4,102.6,102.2,101.7,101.7,100.4,99.6
数据来源：国家统计局
