date,realgdp_monthly_yoy,cpi,CNYUSDSpot,trade balance,current consumption,FR007,omo7d,CNYUSDCPR,IP_yoy,cmpi,cmpi_n_indicators,neer_yoy,target_gdp,target_cpi,shock_policy,shock_policy_change
2000-01-01,,-0.2000000000000028,8.279219047619048,127.40757724876192,2962.9,2.552,2.57,8.279242857142856,10.4,0.4194033415316496,9.0,-1.07455,7.0,2.0,-0.06000000000000005,0.0
2000-02-01,,0.7000000000000028,8.27786875,111.4839357430625,2804.9,2.5133333333333336,2.5399999999999996,8.277766666666666,12.0,0.3901909420457455,9.0,-0.34269,7.0,2.0,4.440892098500626e-16,0.010000000000000231
2000-03-01,,-0.2000000000000028,8.278560869565217,193.13079488291305,2626.6,2.4610869565217395,2.49,8.278521739130435,11.9,0.3180662885028452,9.0,-3.20897,7.0,2.0,-0.010000000000000231,0.015000000000000124
2000-04-01,,-0.2999999999999971,8.279285,177.14333348145,2571.5,2.4250000000000003,2.48,8.279315,11.4,0.3116896224480066,9.0,-2.82634,7.0,2.0,0.14500000000000002,0.0
2000-05-01,,0.0999999999999943,8.277527777777777,259.8106547991667,2636.9,2.394722222222222,2.48,8.277616666666667,11.5,0.3116896224480066,9.0,-0.79692,7.0,2.0,-0.020000000000000018,0.0
2000-06-01,,0.5,8.2772,156.568866496,2645.2,2.3740909090909095,2.48,8.277213636363635,12.2,0.3272689251918314,8.0,-2.13165,7.0,2.0,-0.009999999999999787,0.0
2000-07-01,,0.5,8.279338095238096,164.5005955400476,2596.9,2.3592857142857144,2.48,8.279304761904763,12.8,0.3272689251918314,8.0,-1.57618,7.0,2.0,-0.004999999999999893,0.0
2000-08-01,,0.2999999999999971,8.279569565217392,210.4207067367391,2636.3,2.3293478260869565,2.48,8.279582608695653,12.8,0.1932830608754878,11.0,0.69577,7.0,2.0,-0.020000000000000462,0.0
2000-09-01,,0.0,8.278580952380953,186.951551072,2854.3,2.3104545454545455,2.48,8.278523809523811,12.0,0.413657655549922,8.0,1.95946,7.0,2.0,-0.015000000000000124,0.0
2000-10-01,,0.0,8.278335294117646,321.4951943318235,3029.3,2.3058333333333336,2.4,8.278341176470589,11.4,0.2529717301239469,9.0,3.96717,7.0,2.0,0.0,0.0
2000-11-01,,1.2999999999999972,8.2774,42.545835999999994,3107.8,2.310227272727273,2.4,8.277413636363637,10.6,0.23230187384305,11.0,5.43732,7.0,2.0,0.012000000000000455,0.0
2000-12-01,,1.5,8.277138095238096,47.33686999528572,3680.0,2.461190476190476,2.425,8.277186363636364,10.4,0.1867244080512514,10.0,5.7687,7.0,2.0,0.0699999999999994,0.04999999999999982
2001-01-01,10.59980856892484,1.2000000000000028,8.277264705882354,114.3474320964706,3332.8,2.4865789473684208,2.5,8.277258823529412,10.2,0.3494143307585711,7.0,5.43109,7.0,2.0,0.06000000000000005,0.0
2001-02-01,8.813782963382376,0.0,8.277035,80.53612994244999,3047.1,2.5224,2.5,8.277117647058823,19.0,0.587015624914697,6.0,2.92289,7.0,2.0,0.016999999999999904,0.0
2001-03-01,9.095953531706336,0.7999999999999972,8.277531818181817,195.88588664495452,2876.1,2.496636363636364,2.5,8.277544444444445,12.1,0.6095101227360759,6.0,5.95687,7.0,1.5,0.0,0.0
2001-04-01,8.34627391565208,1.5999999999999943,8.277104761904761,77.21719309485714,2820.9,2.4213478260869565,2.5,8.27712,11.5,0.5653117150140147,7.0,7.65693,7.0,1.5,-0.020000000000000018,0.0
2001-05-01,9.019365827556536,1.7000000000000028,8.277183333333333,165.9360879285,2929.6,2.385022222222222,2.5,8.277125,10.2,0.6031321117772569,6.0,5.28853,7.0,1.5,0.009599999999999831,0.0
2001-06-01,8.42897304475776,1.4000000000000057,8.277038095238096,68.65761714809524,2908.7,2.3544285714285715,2.5,8.277042857142858,10.1,0.6010061081243172,6.0,7.41096,7.0,1.5,0.0,0.0
