数据库：月度数据
时间：2000-
指标,2026年2月,2026年1月,2025年12月,2025年11月,2025年10月,2025年9月,2025年8月,2025年7月,2025年6月,2025年5月,2025年4月,2025年3月,2025年2月,2025年1月,2024年12月,2024年11月,2024年10月,2024年9月,2024年8月,2024年7月,2024年6月,2024年5月,2024年4月,2024年3月,2024年2月,2024年1月,2023年12月,2023年11月,2023年10月,2023年9月,2023年8月,2023年7月,2023年6月,2023年5月,2023年4月,2023年3月,2023年2月,2023年1月,2022年12月,2022年11月,2022年10月,2022年9月,2022年8月,2022年7月,2022年6月,2022年5月,2022年4月,2022年3月,2022年2月,2022年1月,2021年12月,2021年11月,2021年10月,2021年9月,2021年8月,2021年7月,2021年6月,2021年5月,2021年4月,2021年3月,2021年2月,2021年1月,2020年12月,2020年11月,2020年10月,2020年9月,2020年8月,2020年7月,2020年6月,2020年5月,2020年4月,2020年3月,2020年2月,2020年1月,2019年12月,2019年11月,2019年10月,2019年9月,2019年8月,2019年7月,2019年6月,2019年5月,2019年4月,2019年3月,2019年2月,2019年1月,2018年12月,2018年11月,2018年10月,2018年9月,2018年8月,2018年7月,2018年6月,2018年5月,2018年4月,2018年3月,2018年2月,2018年1月,2017年12月,2017年11月,2017年10月,2017年9月,2017年8月,2017年7月,2017年6月,2017年5月,2017年4月,2017年3月,2017年2月,2017年1月,2016年12月,2016年11月,2016年10月,2016年9月,2016年8月,2016年7月,2016年6月,2016年5月,2016年4月,2016年3月,2016年2月,2016年1月,2015年12月,2015年11月,2015年10月,2015年9月,2015年8月,2015年7月,2015年6月,2015年5月,2015年4月,2015年3月,2015年2月,2015年1月,2014年12月,2014年11月,2014年10月,2014年9月,2014年8月,2014年7月,2014年6月,2014年5月,2014年4月,2014年3月,2014年2月,2014年1月,2013年12月,2013年11月,2013年10月,2013年9月,2013年8月,2013年7月,2013年6月,2013年5月,2013年4月,2013年3月,2013年2月,2013年1月,2012年12月,2012年11月,2012年10月,2012年9月,2012年8月,2012年7月,2012年6月,2012年5月,2012年4月,2012年3月,2012年2月,2012年1月,2011年12月,2011年11月,2011年10月,2011年9月,2011年8月,2011年7月,2011年6月,2011年5月,2011年4月,2011年3月,2011年2月,2011年1月,2010年12月,2010年11月,2010年10月,2010年9月,2010年8月,2010年7月,2010年6月,2010年5月,2010年4月,2010年3月,2010年2月,2010年1月,2009年12月,2009年11月,2009年10月,2009年9月,2009年8月,2009年7月,2009年6月,2009年5月,2009年4月,2009年3月,2009年2月,2009年1月,2008年12月,2008年11月,2008年10月,2008年9月,2008年8月,2008年7月,2008年6月,2008年5月,2008年4月,2008年3月,2008年2月,2008年1月,2007年12月,2007年11月,2007年10月,2007年9月,2007年8月,2007年7月,2007年6月,2007年5月,2007年4月,2007年3月,2007年2月,2007年1月,2006年12月,2006年11月,2006年10月,2006年9月,2006年8月,2006年7月,2006年6月,2006年5月,2006年4月,2006年3月,2006年2月,2006年1月,2005年12月,2005年11月,2005年10月,2005年9月,2005年8月,2005年7月,2005年6月,2005年5月,2005年4月,2005年3月,2005年2月,2005年1月,2004年12月,2004年11月,2004年10月,2004年9月,2004年8月,2004年7月,2004年6月,2004年5月,2004年4月,2004年3月,2004年2月,2004年1月,2003年12月,2003年11月,2003年10月,2003年9月,2003年8月,2003年7月,2003年6月,2003年5月,2003年4月,2003年3月,2003年2月,2003年1月,2002年12月,2002年11月,2002年10月,2002年9月,2002年8月,2002年7月,2002年6月,2002年5月,2002年4月,2002年3月,2002年2月,2002年1月,2001年12月,2001年11月,2001年10月,2001年9月,2001年8月,2001年7月,2001年6月,2001年5月,2001年4月,2001年3月,2001年2月,2001年1月,2000年12月,2000年11月,2000年10月,2000年9月,2000年8月,2000年7月,2000年6月,2000年5月,2000年4月,2000年3月,2000年2月,2000年1月
社会消费品零售总额当期值(亿元),,,45135.9,43898.0,46291.3,41971.0,39667.6,38780.2,42287.4,41325.8,37174.1,40940.5,,,45171.5,43763.0,45396.4,41112.3,38725.8,37757.4,40731.6,39211.0,35699.1,39019.9,,,43550.2,42505.0,43333.0,39826.0,37932.7,36760.7,39951.4,37803.3,34910.5,37855.4,,,40542.3,38615.1,40270.5,37744.9,36257.9,35870.1,38742.5,33547.0,29483.1,34233.1,,,41268.9,41043.2,40453.9,36833.0,34394.9,34925.1,37585.8,35945.1,33152.6,35484.1,,,40566.0,39514.2,38576.5,35294.7,33570.6,32202.5,33525.9,31972.8,28177.8,26449.9,,,38776.7,38093.8,38104.3,34494.9,33896.3,33073.3,33878.1,32955.7,30586.1,31725.7,,,35893.5,35259.7,35534.4,32005.4,31542.3,30733.7,30841.6,30359.1,28541.9,29193.6,,,34734.1,34108.2,34240.9,30870.3,30329.7,29609.8,29807.6,29459.2,27278.5,27863.7,,,31757.0,30958.5,31119.2,27976.4,27539.6,26827.4,26857.4,26610.7,24645.8,25114.1,,,28634.6,27937.3,28278.9,25270.6,24893.4,24338.8,24280.3,24194.8,22386.7,22722.8,,,25801.3,23474.7,23967.2,23042.4,21133.9,20775.8,21166.4,21249.8,19701.2,19800.6,,,23059.7,21011.9,21491.3,20653.3,18886.2,18513.2,18826.7,18886.3,17600.3,17641.2,,,20334.2,18476.7,18933.8,18226.6,16658.9,16314.9,16584.9,16714.8,15603.1,15650.2,,,17739.7,16128.9,16546.4,15865.1,14705.0,14408.0,14565.1,14696.8,13649.0,13588.0,13769.1,15249.0,15329.5,13910.9,14284.8,13536.5,12569.8,12252.8,12329.9,12455.1,11510.4,11321.7,12334.2,12718.1,12610.0,11339.0,11717.6,10912.8,10115.6,9936.5,9941.6,10028.4,9343.2,9317.6,9323.8,10756.6,10728.5,9790.8,10082.7,9446.5,8767.7,8628.8,8642.0,8703.5,8142.0,8123.2,8354.7,9077.3,9015.3,8104.7,8263.0,7668.4,7116.6,6998.2,7026.0,7157.5,6672.5,6685.8,7013.7,7488.3,7499.2,6821.7,6997.7,6553.6,6077.4,6012.2,6057.8,6175.6,5774.6,5796.7,6001.9,6641.6,6850.4,5909.0,5846.6,5495.2,5040.8,4934.9,4935.0,4899.2,4663.3,4799.1,5012.2,5300.9,5562.5,4965.6,4983.2,4717.7,4262.7,4209.2,4250.7,4166.1,4001.8,4049.8,4211.4,4569.4,4735.7,4202.7,4204.4,3971.8,3609.6,3562.1,3576.9,3463.3,3406.9,3494.8,3706.4,3907.4,4404.4,3733.1,3661.9,3422.4,3143.7,3096.6,3158.8,3202.1,3052.2,3114.8,3324.4,3596.1,4033.3,3421.7,3347.3,3136.9,2889.4,2851.4,2908.7,2929.6,2820.9,2876.1,3047.1,3332.8,3680.0,3107.8,3029.3,2854.3,2636.3,2596.9,2645.2,2636.9,2571.5,2626.6,2804.9,2962.9
社会消费品零售总额累计值(亿元),,,501202.4,456066.6,412168.5,365877.2,323906.2,284238.5,245458.4,203171.0,161845.2,124671.1,83730.6,,487894.8,442723.3,398960.3,353564.0,312451.7,273725.9,235969.0,195236.9,156025.8,120326.8,81306.9,,471495.2,427945.0,385440.0,342107.0,302281.0,264348.4,227587.6,187636.3,149832.9,114922.4,77067.0,,439732.5,399190.2,360575.1,320304.6,282559.7,246301.8,210431.7,171689.3,138142.2,108659.1,74426.0,,440823.2,399554.3,358511.1,318057.2,281224.2,246829.4,211904.3,174318.5,138373.4,105220.8,69736.8,,391980.6,351414.7,311900.5,273324.0,238029.4,204458.7,172256.2,138730.3,106757.5,78579.7,52129.8,,411649.0,372872.3,334778.5,296674.2,262179.3,228282.9,195209.7,161331.6,128375.8,97789.7,66064.0,,380986.9,345093.4,309833.7,274299.3,242293.9,210751.6,180017.9,149176.4,118817.3,90275.4,61081.8,,366261.6,331527.5,297419.4,263178.4,232308.2,201978.5,172368.7,142561.1,113101.9,85823.4,57959.7,,332316.0,300559.5,269601.0,238481.8,210505.4,182965.8,156138.3,129280.9,102670.2,78024.4,52910.3,,300930.8,272296.1,244358.8,216079.9,190809.3,165915.9,141577.1,117296.9,93102.0,70715.3,47992.5,,262394.1,236592.8,213118.1,189150.8,166108.4,144974.5,124198.7,103032.2,81782.4,62081.2,42280.7,,234380.0,211320.2,190308.3,168817.0,148163.7,129277.5,110764.3,91937.6,73051.3,55451.0,37809.8,,207166.7,186832.5,168355.8,149422.0,131195.4,114536.5,98221.6,81636.7,64921.9,49318.8,33668.6,,181225.8,163486.1,147357.2,130810.8,114945.7,100240.7,85832.7,71267.6,56570.8,42921.8,29018.1,15249.0,154553.7,139224.2,125313.3,111028.5,97492.0,84922.2,72669.4,60339.5,47884.4,36374.0,25052.3,12718.1,125342.7,112732.7,101393.7,89676.1,78763.3,68647.7,58711.2,48769.6,38741.2,29398.0,20080.4,10756.6,108487.7,97759.2,87968.4,77885.7,68439.2,59671.5,51042.7,42400.7,33697.2,25555.2,17432.0,9077.3,89210.0,80194.7,72090.0,63827.0,56158.6,49042.0,42043.8,35017.8,27860.3,21187.8,14502.0,7488.3,76410.0,68910.8,62089.1,55091.4,48537.8,42460.4,36448.2,30390.4,24214.8,18440.2,12643.5,6641.6,67176.6,56836.2,50927.2,45080.6,39585.4,34544.6,29609.7,24674.7,19775.5,15112.2,10313.1,5300.9,53950.1,48387.6,43422.0,38438.8,33721.1,29458.4,25249.2,20998.5,16832.4,12830.6,8780.8,4569.4,45842.0,41106.3,36903.6,32699.2,28727.4,25117.8,21555.7,17978.8,14515.5,11108.6,7613.8,3907.4,40910.5,36506.1,32773.0,29111.1,25688.7,22545.0,19448.4,16289.6,13087.5,10035.3,6920.5,3596.1,37595.2,33561.9,30140.2,26792.9,23656.0,20766.6,17915.2,15006.5,12076.9,9256.0,6379.9,3332.8,34152.6,30472.6,27364.8,24335.5,21481.2,18844.9,16248.0,13602.8,10965.9,8394.4,5767.8,2962.9
社会消费品零售总额同比增长(%),,,0.9,1.3,2.9,3.0,3.4,3.7,4.8,6.4,5.1,5.9,,,3.7,3.0,4.8,3.2,2.1,2.7,2.0,3.7,2.3,3.1,,,7.4,10.1,7.6,5.5,4.6,2.5,3.1,12.7,18.4,10.6,,,-1.8,-5.9,-0.5,2.5,5.4,2.7,3.1,-6.7,-11.1,-3.5,,,1.7,3.9,4.9,4.4,2.5,8.5,12.1,12.4,17.7,34.2,,,4.6,5.0,4.3,3.3,0.5,-1.1,-1.8,-2.8,-7.5,-15.8,,,8.0,8.0,7.2,7.8,7.5,7.6,9.8,8.6,7.2,8.7,,,8.2,8.1,8.6,9.2,9.0,8.8,9.0,8.5,9.4,10.1,,,9.4,10.2,10.0,10.3,10.1,10.4,11.0,10.7,10.7,10.9,,,10.9,10.8,10.0,10.7,10.6,10.2,10.6,10.0,10.1,10.5,,,11.1,11.2,11.0,10.9,10.8,10.5,10.6,10.1,10.0,10.2,,,11.9,11.7,11.5,11.6,11.9,12.2,12.4,12.5,11.9,12.2,,,13.6,13.7,13.3,13.3,13.4,13.2,13.3,12.9,12.8,12.6,,,15.2,14.9,14.5,14.2,13.2,13.1,13.7,13.8,14.1,15.2,,,18.1,17.3,17.2,17.7,17.0,17.2,17.7,16.9,17.1,17.4,11.6,19.9,19.1,18.7,18.6,18.8,18.4,17.9,18.3,18.7,18.5,18.0,22.1,14.0,17.5,15.8,16.2,15.5,15.4,15.2,15.0,15.2,14.8,14.7,11.6,18.5,19.0,20.8,22.0,23.2,23.2,23.3,23.0,21.6,22.0,21.5,19.1,21.2,20.2,18.8,18.1,17.0,17.1,16.4,16.0,15.9,15.5,15.3,16.9,12.7,14.6,14.1,14.3,13.9,13.8,13.7,13.9,14.2,13.6,13.5,9.4,15.5,12.5,12.4,12.8,12.7,12.5,12.7,12.9,12.8,12.2,13.9,15.8,11.5,14.5,13.9,14.2,14.0,13.1,13.2,13.9,17.8,13.2,11.1,9.2,11.8,10.9,9.7,10.2,9.5,9.9,9.8,8.3,4.3,7.7,9.3,8.5,10.0,9.2,9.1,9.4,9.1,8.8,8.6,8.6,9.3,8.2,8.3,9.1,7.9,9.6,10.1,10.5,9.9,9.6,9.8,10.0,11.1,9.7,9.5,8.6,12.5,8.8,8.7,10.4,9.6,9.3,9.1,8.9,11.5,9.1,9.3,10.5,11.3
社会消费品零售总额累计增长(%),,,3.7,4.0,4.3,4.5,4.6,4.8,5.0,5.0,4.7,4.6,4.0,,3.5,3.5,3.5,3.3,3.4,3.5,3.7,4.1,4.1,4.7,5.5,,7.2,7.2,6.9,6.8,7.0,7.3,8.2,9.3,8.5,5.8,3.5,,-0.2,-0.1,0.6,0.7,0.5,-0.2,-0.7,-1.5,-0.2,3.3,6.7,,12.5,13.7,14.9,16.4,18.1,20.7,23.0,25.7,29.6,33.9,33.8,,-3.9,-4.8,-5.9,-7.2,-8.6,-9.9,-11.4,-13.5,-16.2,-19.0,-20.5,,8.0,8.0,8.1,8.2,8.2,8.3,8.4,8.1,8.0,8.3,8.2,,9.0,9.1,9.2,9.3,9.3,9.3,9.4,9.5,9.7,9.8,9.7,,10.2,10.3,10.3,10.4,10.4,10.4,10.4,10.3,10.2,10.0,9.5,,10.4,10.4,10.3,10.4,10.3,10.3,10.3,10.2,10.3,10.3,10.2,,10.7,10.6,10.6,10.5,10.5,10.4,10.4,10.4,10.4,10.6,10.7,,12.0,12.0,12.0,12.0,12.1,12.1,12.1,12.1,12.0,12.0,11.8,,13.1,13.0,13.0,12.9,12.8,12.8,12.7,12.6,12.5,12.4,12.3,,14.3,14.2,14.1,14.1,14.1,14.2,14.4,14.5,14.7,14.8,14.7,,17.1,17.0,17.0,17.0,16.9,16.8,16.8,16.6,16.5,16.3,15.8,19.9,18.4,18.4,18.3,18.3,18.2,18.2,18.2,18.2,18.1,17.9,17.9,14.0,15.5,15.3,15.3,15.1,15.1,15.0,15.0,15.0,15.0,15.0,15.2,18.5,21.6,21.9,22.0,22.0,21.9,21.7,21.4,21.1,21.0,20.6,20.2,21.2,16.8,16.4,16.1,15.9,15.7,15.5,15.4,15.2,15.1,14.9,14.7,12.7,13.7,13.6,13.6,13.5,13.5,13.4,13.3,13.2,13.0,12.8,12.5,15.5,12.9,12.9,13.0,13.0,13.0,13.1,13.2,13.2,13.3,13.7,13.6,11.5,13.3,13.2,13.1,13.0,12.9,12.8,12.8,12.5,11.3,10.7,10.5,11.8,9.1,8.9,8.8,8.6,8.5,8.3,8.0,8.0,8.9,9.2,9.2,10.0,8.8,8.8,8.7,8.7,8.6,8.6,8.6,8.6,8.4,8.4,8.5,7.9,10.1,10.1,10.1,10.1,10.1,10.2,10.3,10.3,10.1,10.3,10.6,12.5,9.7,9.8,9.9,9.9,9.9,10.0,10.1,10.4,10.1,10.4,10.9,11.3
限上单位消费品零售额当期值(亿元),,,19546.7,17810.3,17781.5,17776.1,15841.5,15213.7,18327.3,16715.8,14991.6,17239.0,,,19453.4,17748.1,16985.5,16901.2,14925.5,14282.8,16994.0,14988.2,13640.9,15535.1,,,17885.4,16857.8,15362.6,15890.3,14460.8,13762.0,16658.3,14033.4,13228.1,15459.1,,,17070.7,15606.6,14290.6,15234.4,14017.9,13737.1,16540.6,12713.0,11012.0,13630.7,,,16703.2,16030.8,13866.7,13902.0,12342.5,12425.2,14890.7,13214.4,12592.4,13699.7,,,16300.8,15190.3,13095.0,13376.4,12136.1,11351.3,13106.9,11664.2,10588.3,9984.3,,,15337.6,13964.7,12322.1,12835.4,11772.1,11412.1,13163.4,11693.8,11120.1,11952.5,,,15084.0,13678.7,12478.6,12761.7,11832.2,11419.0,12448.3,11476.7,11240.6,11831.8,,,17409.4,15778.7,14373.8,14629.7,13229.4,12812.6,14222.0,12937.1,12253.3,12873.3,,,16945.0,14791.8,13507.7,13503.9,12249.7,11805.7,13005.8,11884.9,11264.3,11717.1,,,15367.0,13502.7,12612.2,12484.1,11256.6,11005.3,12009.4,11180.1,10564.2,10833.5,,,14274.2,11793.9,11744.6,11581.8,10466.1,10359.9,11102.8,10559.8,10009.6,10230.7,,,12641.4,11055.0,10578.9,10526.0,9490.3,9158.9,9764.4,9371.1,8950.3,9075.7,,,10773.4,9394.5,9022.8,8930.7,8148.7,7812.0,8222.8,7922.5,7482.6,7686.0,,,9053.4,7744.8,7628.6,7549.6,6902.2,6689.6,6834.0,6787.4,6418.2,6323.2,5781.1,6942.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
限上单位消费品零售额累计值(亿元),,,201618.2,182664.6,164935.4,147726.2,130021.7,114258.2,99219.7,80749.1,64082.2,49216.5,31952.5,,192552.5,173397.6,155131.4,137676.5,120304.4,105321.1,91056.9,73858.0,58873.8,45450.8,29919.7,,178563.1,161540.2,144741.9,129424.6,113364.2,98981.8,85341.3,68720.6,55500.7,43691.3,28485.8,,170903.3,153895.3,138115.8,123844.7,108653.1,94749.6,81231.2,64614.0,51586.5,40600.2,27229.6,,164148.1,147515.5,131281.0,117587.9,103568.4,91259.5,78939.3,63974.4,50752.8,38140.0,24374.5,,143322.9,127123.6,111887.7,98573.5,85316.9,73332.1,62374.8,49317.2,37607.7,27049.1,16949.8,,148009.9,132639.1,118918.8,106691.9,93880.9,82446.2,71124.2,57924.0,46211.9,35078.2,23096.0,,145311.3,130829.9,117177.5,104792.1,92367.7,81125.2,69937.6,57517.7,46136.9,34941.0,23242.0,,160612.5,145752.6,131617.9,117750.5,103070.0,89820.7,76953.0,62689.3,49764.5,37460.5,24679.7,,154286.0,137203.2,122312.3,108343.7,95101.0,82920.9,71075.1,58010.4,46111.3,34625.5,23080.0,,142558.0,126906.0,113833.2,101089.3,88576.0,77264.8,66255.7,54230.0,43014.6,32471.6,21840.4,,133179.3,118450.5,106570.4,94232.8,83023.6,72417.7,62102.1,50857.0,40248.5,30274.6,20132.7,,118884.7,106233.5,95158.6,84570.5,73935.3,64416.5,55251.1,45392.4,36004.9,27045.3,18001.4,,101129.3,90346.6,80600.7,71580.1,62621.5,54264.0,46592.1,38321.3,30412.7,22920.6,15238.3,,84608.7,75547.5,67791.7,60165.4,52614.0,45721.8,39034.2,32221.8,25434.0,19039.5,12723.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
限上单位消费品零售额同比增长(%),,,-1.9,-2.0,1.6,2.3,2.4,2.8,5.0,8.0,6.3,8.5,,,4.0,1.3,6.2,2.6,-0.6,-0.1,-0.6,3.4,0.9,2.6,,,6.6,10.0,8.7,5.2,3.1,0.3,2.3,12.5,19.0,10.1,,,-1.3,-5.8,-0.5,6.1,9.3,6.8,8.1,-6.5,-14.0,-1.4,,,1.6,4.2,4.6,2.8,0.5,8.5,13.2,12.7,18.5,38.6,,,6.4,8.3,7.1,5.3,4.4,2.2,-0.4,1.3,-3.2,-15.0,,,4.4,4.4,1.2,3.1,2.0,2.9,9.7,5.1,2.0,5.1,,,2.4,2.1,3.7,5.7,6.0,5.7,6.5,5.5,7.8,9.0,,,6.7,7.8,7.2,7.8,7.5,8.6,10.2,9.2,9.2,10.0,,,9.8,9.5,7.5,8.8,8.5,7.3,8.1,6.5,6.7,8.6,,,8.6,8.8,8.4,8.2,8.0,7.3,7.8,6.8,6.7,7.1,,,9.4,8.7,8.3,8.5,9.0,9.7,10.2,9.9,9.4,10.2,,,13.0,13.1,12.4,12.4,11.5,11.2,11.5,10.7,11.5,10.5,,,15.3,15.1,14.8,14.7,13.1,13.0,14.0,14.0,14.6,16.9,,,23.2,21.5,21.3,24.7,22.1,23.3,25.4,22.7,23.4,24.7,13.0,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
限上单位消费品零售额累计增长(%),,,3.3,3.8,4.5,4.9,5.2,5.6,6.1,6.3,5.9,5.7,4.3,,2.7,2.6,2.7,2.3,2.3,2.7,3.1,4.0,4.2,5.2,6.7,,6.5,6.5,6.1,5.9,5.9,6.4,7.4,8.7,7.8,4.8,2.1,,1.4,1.7,2.6,3.0,2.6,1.7,0.8,-0.9,0.6,5.4,9.1,,13.4,14.9,16.4,17.9,20.3,23.6,26.4,29.9,35.3,42.0,43.9,,-1.9,-2.8,-4.2,-5.5,-7.0,-8.6,-10.3,-12.7,-16.3,-20.5,-23.4,,3.9,3.9,3.8,4.1,4.3,4.6,4.9,3.9,3.5,4.1,3.5,,5.7,6.1,6.6,6.9,7.1,7.3,7.5,7.8,8.4,8.5,8.3,,8.1,8.3,8.3,8.5,8.6,8.7,8.7,8.4,8.2,7.9,6.8,,8.1,7.9,7.8,7.8,7.6,7.5,7.5,7.4,7.7,8.0,7.6,,7.8,7.7,7.6,7.5,7.4,7.3,7.4,7.3,7.5,7.8,8.1,,9.3,9.3,9.4,9.5,9.7,9.8,9.8,9.7,9.6,9.7,9.5,,11.6,11.4,11.2,11.0,10.8,10.7,10.5,10.5,10.4,10.3,10.2,,14.6,14.5,14.5,14.4,14.4,14.6,14.9,15.1,15.3,15.6,14.9,,22.9,22.8,23.0,23.5,23.5,23.7,23.7,22.9,22.9,22.5,20.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
注：1.根据第四次全国经济普查结果及有关制度规定，对1993-2018年社会消费品零售总额数据进行修订。
　　　2.根据第五次全国经济普查结果及有关制度规定，对社会消费品零售总额数据进行修订，2025年月度增速按照可比口径计算。
